[14:12:16] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[14:12:17] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14:12:17] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:12:17] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:12:17] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14:12:17] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:12:17] [main/INFO]: Reloading ResourceManager: Default
[14:12:19] [Worker-Main-2/INFO]: Loaded 7 recipes
[14:12:20] [Worker-Main-2/INFO]: Loaded 927 advancements
[14:12:23] [Server thread/INFO]: Starting minecraft server version 1.16.4
[14:12:23] [Server thread/INFO]: Loading properties
[14:12:23] [Server thread/INFO]: Default game type: SURVIVAL
[14:12:23] [Server thread/INFO]: Generating keypair
[14:12:24] [Server thread/INFO]: Starting Minecraft server on *:25564
[14:12:24] [Server thread/INFO]: Using epoll channel type
[14:12:24] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[14:12:24] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[14:12:24] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[14:12:24] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[14:12:24] [Server thread/INFO]: Preparing level "BRTSurvivalWorld"
[14:12:36] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[14:12:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[14:12:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[14:12:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[14:12:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[14:12:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[14:12:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[14:12:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[14:12:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[14:12:40] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[14:12:41] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[14:12:41] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[14:12:42] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[14:12:42] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[14:12:43] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[14:12:43] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[14:12:44] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[14:12:44] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[14:12:45] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[14:12:45] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[14:12:46] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[14:12:46] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[14:12:47] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[14:12:47] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[14:12:48] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[14:12:48] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[14:12:49] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[14:12:49] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[14:12:50] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[14:12:50] [Worker-Main-2/INFO]: Preparing spawn area: 14%
[14:12:51] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[14:12:51] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[14:12:52] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[14:12:52] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[14:12:53] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[14:12:53] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[14:12:54] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[14:12:54] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[14:12:55] [Worker-Main-2/INFO]: Preparing spawn area: 21%
[14:12:55] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[14:12:56] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[14:12:56] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[14:12:57] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[14:12:57] [Worker-Main-2/INFO]: Preparing spawn area: 24%
